"name","symbol","keyword","flowering_time_effect","conditions_for_effect","phenotype","agi","appears_in","key_articles"
"ABA HYPERSENSITIVE 1 , CAP-BINDING PROTEIN 80","ABH1, CBP80","General","Negative","SD and LD","Single mutant: cbp80 single mutant is early flowering under both SD and LD conditions in the C24 and Col FRI backgrounds, and only under SD conditions in the Col-0 background. [ et al., ][Kuhn et al., 2007][Bezerra et al., 2004][Lee et al., 2015] Remarks: Remarks","AT2G13540","microRNA biosynthesisFLC regulation through protein complexesGeneral processes & autonomous pathway","Hugouvieux V et al., 2001, CellBezerra I C et al., 2004, Plant J.Kuhn J M et al., 2007, Plant J.Kim S et al., 2008, Plant Cell Physiol.Kong X et al., 2014, J. Proteome Res."
"ACTIN-RELATED PROTEIN 4","ARP4","General","Negative","LD [no data under SD]","RNA interference : RNAi downregulation of ARP4 leads to pleiotropic defects, including early flowering under SD conditions. (No data available under SD conditions.)[Kandasamy et al., 2005]Remarks: ARP4 is part of the SWR1 complex, which is involved in the deposition of H2A.Z at multiple loci, including FLC. [Deal et al., 2007]","AT1G18450","FLC regulation through protein complexesGeneral processes & autonomous pathway","Kandasamy M K et al., 2003, Plant J.Kandasamy M K et al., 2005, Plant J."
"ACTIN-RELATED PROTEIN 6 , SUPPRESSOR OF FRIGIDA3 , EARLY IN SHORT DAYS 1","ARP6, SUF3, ESD1","General","Negative","SD and LD","Single mutant: esd1 single mutant is early flowering under both SD and LD conditions.[Deal et al., 2005][Martin-Trillo et al., 2006][Kumar et al., 2010][Choi et al., 2005] Remarks: esd1 single mutant has reduced FLC expression levels. [Deal et al., 2005][Choi et al., 2005] Overexpressor: Overexpression of ESD1 does not lead to any flowering-time phenotype. [Deal et al., 2005]Remarks: ESD1 is part of the SWR1 complex, which is involved in the deposition of H2A.Z at multiple loci, including FLC. [Deal et al., 2007]","AT3G33520","Temperature pathwayFLC regulation through protein complexesGeneral processes & autonomous pathway","Deal R B et al., 2005, Plant CellChoi K et al., 2005, Plant CellMartin-Trillo M et al., 2006, DevelopmentDeal R B et al., 2007, Plant CellKumar S V et al., 2010, CellChoi K et al., 2013, Nat. Genet.Qin Y et al., 2014, Plant Cell"
"ADP GLUCOSE PYROPHOSPHORYLASE 1 , ADP-GLUCOSE PYROPHOSPHORYLASE SMALL SUBUNIT 1","ADG1, APS1","Sugar","Positive","SD and LD","Single mutant: adg1 single mutant is starchless and late flowering under both SD and LD conditions. ( adg1 single mutant shows pleoitropic developmental defects.)[Ventriglia et al., 2008] Overexpressor: ADG1 overexpressor does not display any flowering-time phenotype.","AT5G48300","Sugar pathway","Lin T P et al., 1988, Plant Physiol.Eimert K et al., 1995, Plant CellWang S M et al., 1998, Plant J.Ventriglia T et al., 2008, Plant Physiol.Hädrich N et al., 2012, Plant J."
"AGAMOUS","AG","Flower development and meristem identity",,"None","Single mutant: agamous single mutant has flower defects: the six stamens are replaced by six petals while carpels are replaced by a new mutant flower. [Yanofsky et al., 1990][Bowman et al., 1989][Irish et al., 1990][Bowman et al., 1991] Overexpressor: AGAMOUS overexpressor displays the same phenotype than the apetala2 single mutant: sepals are converted into ovule-bearing carpels. [Mizukami et al., 1992]","AT4G18960","Mains targets of ABC(E)genesKinetics of ABC(E) genes expressionSpecification of flower mersitems","Yanofsky M F et al., 1990, NatureDrews G N et al., 1991, CellBowman J L et al., 1991, Plant CellMizukami Y et al., 1992, CellRiechmann J L et al., 1996, Proc. Natl. Acad. Sci. U.S.A.Lee H et al., 2000, Genes Dev.Lenhard M et al., 2001, CellLohmann J U et al., 2001, CellGómez-Mena C et al., 2005, DevelopmentGregis V et al., 2006, Plant Cell"
"AGAMOUS-LIKE 15","AGL15","Photoperiodism, light perception and  signaling","Negative","SD and LD","Multiple mutant: agl15;agl18 multiple mutant is early flowering under SD conditions and slightly early flowering under LD conditions. ( Phenotype stronger under SD conditions.)[Adamczyk et al., 2007][Fernandez et al., 2014] Single mutant: No flowering-time phenotype described for the agl18 single mutant. (Mutation of either AGL15 or AGL18 genes increases the early-flowering phenotype of svp or flm single mutants under SD conditions.) [Adamczyk et al., 2007] Overexpressor: AGL15 overexpressor is late flowering under LD conditions. No data available under SD conditions. [Fernandez et al., 2000] Remarks: AGL15 positively regulates the expression of miR156. [Serivichyaswat et al., 2015]","AT5G13790","Time-course regulation of photoperiodic pathway","Rounsley S D et al., 1995, Plant CellHeck G R et al., 1995, Plant CellFernandez D E et al., 2000, Plant CellWang H et al., 2004, Plant CellZhu C et al., 2005, Plant J.Adamczyk B J et al., 2007, Plant J.Hill K et al., 2008, Plant J.Zheng Y et al., 2009, Plant CellFernandez D E et al., 2014, Plant Physiol.Serivichyaswat P et al., 2015, Mol. Cells"
"AGAMOUS-LIKE 16","AGL16","General","Negative","LD only","Single mutant: agl16 single mutant is early flowering under LD conditions only, both in Col-0 and Col FRI backgrounds. [Hu et al., 2014] Remarks: agl16 single mutant""s phentotype is enhanced in the Col FRI background. [Hu et al., 2014] Remarks: AGL16 mRNA stability is regulatged by AGL15.[Hu et al., 2014][Kutter et al., 2007]","AT3G57230","General processes & autonomous pathway","Kutter C et al., 2007, Plant CellYang K et al., 2014, J Integr Plant BiolHu J et al., 2014, Plant Cell"
"AGAMOUS-LIKE 17","AGL17","Photoperiodism, light perception and  signaling","Positive","SD only","Single mutant: agl17 single mutant is late flowering under LD conditions. [Han et al., 2008] Overexpressor: AGL17 overexpressor is early flowering under both SD and LD conditions. [Han et al., 2008] Remarks: Seems to act downstream of CO to regulate the expression of LFY and AP1 in a FT-independent manner. [Han et al., 2008]","AT2G22630","Photoperiod pathway","Rounsley S D et al., 1995, Plant CellHan P et al., 2008, Plant J."
"AGAMOUS-LIKE 18","AGL18","Photoperiodism, light perception and  signaling","Negative","SD and LD","Multiple mutant: agl15;agl18 multiple mutant is early flowering under both SD and LD conditions only.( The phenotype is stronger under SD conditions.) [Adamczyk et al., 2007][Fernandez et al., 2014] Single mutant: agl18 single mutant does not display any flowering-time phenotype.(Mutation of either AGL15 or AGL18 genes increases the early flowering of svp or flm single mutants under SD conditions.) [Adamczyk et al., 2007] Remarks: AGL15 positively regulates the expression of MIR156. [Serivichyaswat et al., 2015]","AT3G57390","Time-course regulation of photoperiodic pathway","Adamczyk B J et al., 2007, Plant J.Fernandez D E et al., 2014, Plant Physiol."
"AGAMOUS-LIKE 19","AGL19","Vernalization","Positive","SD and LD","Overexpressor: AGL19 overexpressor is early flowering under both SD and LD conditions. [Schönrock et al., 2006] Single mutant: agl19 single mutant is slightly late flowering under SD conditions only. agl19 also shows a reduced sensibility to vernalization. [Schönrock et al., 2006] Remarks: AGL19 promotes flowering in response to short periods of cold in a FLC-inpedendent manner.[Schönrock et al., 2006]","AT4G22950","Vernalization","Schönrock N et al., 2006, Genes Dev.Kim W et al., 2013, Biochem. Biophys. Res. Commun.Suter L et al., 2014, Plant Physiol.Serivichyaswat P et al., 2015, Mol. CellsKang M et al., 2015, New Phytol."
